Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:33:46.000Z," Mini HOF Stack Sale! (Post 16)

$8",0,0,0,2,https://twitter.com/CheapSportsCar1/status/1749938503268675976
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:32:45.000Z," Mini HOF Stack Sale! (Post 15)

First Topps in Rockies uniform

$4 each",0,0,0,13,https://twitter.com/CheapSportsCar1/status/1749938247235490264
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:31:40.000Z," Mini HOF Stack Sale! (Post 14)

1995 Best SP

$5",0,0,0,24,https://twitter.com/CheapSportsCar1/status/1749937977717903540
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:30:36.000Z," Mini HOF Stack Sale! (Post 13)

1st Bowman

$4 each",0,0,0,29,https://twitter.com/CheapSportsCar1/status/1749937708687110152
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:29:17.000Z," Mini HOF Stack Sale! (Post 12)

$2",0,0,0,28,https://twitter.com/CheapSportsCar1/status/1749937375990431922
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:27:36.000Z," Mini HOF Stack Sale! (Post 11)

$2 each",0,0,0,31,https://twitter.com/CheapSportsCar1/status/1749936953536155994
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:31:40.000Z," Mini HOF Stack Sale! (Post 14)

1995 Best SP

$5",0,0,0,24,https://twitter.com/CheapSportsCar1/status/1749937977717903540
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:30:36.000Z," Mini HOF Stack Sale! (Post 13)

1st Bowman

$4 each",0,0,0,29,https://twitter.com/CheapSportsCar1/status/1749937708687110152
MentalMulisha665,@MentalMulisha65,2024-01-23T23:27:30.000Z,"The LAMBORGHINI VENENO is a limited production high performance sports car  manufactured by Italian automobile manufacturer Lamborghini. Based on the Lamborghini Aventador, the Veneno was developed to celebrate Lamborghini's 50th anniversary. It was introduced at the 2013…",2,0,4,41,https://twitter.com/MentalMulisha65/status/1749936929129328953
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:26:03.000Z," Mini HOF Stack Sale! (Post 10)

$1 each",1,0,0,59,https://twitter.com/CheapSportsCar1/status/1749936562257723663
MentalMulisha665,@MentalMulisha65,2024-01-23T23:25:57.000Z,"The LAMBORGHINI VENENO is a limited production high performance sports car  manufactured by Italian automobile manufacturer Lamborghini. Based on the Lamborghini Aventador, the Veneno was developed to celebrate Lamborghini's 50th anniversary. It was introduced at the 2013…",0,0,1,21,https://twitter.com/MentalMulisha65/status/1749936539298050224
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:25:11.000Z," Mini HOF Stack Sale! (Post 9)

$1 each",0,0,0,36,https://twitter.com/CheapSportsCar1/status/1749936345877725607
Kyla Zalapski Fitness Evolution,@fitnessevolyyc,2024-01-23T23:23:41.000Z,Do you sign informed consent on your driver's license regarding concussion? Since the risk of concussion (actual TBI) is exponentially higher in  car accidents than any sport participation? Slips and falls also..do you sign informed consent to get in a shower?,0,0,0,9,https://twitter.com/fitnessevolyyc/status/1749935968994672802
Austin,@Car0zza316,2024-01-23T23:22:59.000Z,The Baseball hall of fame is the biggest joke in sports,0,0,0,26,https://twitter.com/Car0zza316/status/1749935789771739453
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:22:46.000Z," Mini HOF Stack Sale! (Post 8)

$1 each",0,0,0,53,https://twitter.com/CheapSportsCar1/status/1749935737292685675
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:21:57.000Z," Mini HOF Stack Sale! (Post 7)

1997 Bowman RC

$25 each",0,0,1,51,https://twitter.com/CheapSportsCar1/status/1749935529397715016
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:21:13.000Z," Mini HOF Stack Sale! (Post 6)

1997 Bowman’s Best RC

$20",0,0,0,53,https://twitter.com/CheapSportsCar1/status/1749935347046232552
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:19:25.000Z," Mini HOF Stack Sale! (Post 5)

First Topps Card

$6 each",0,0,0,50,https://twitter.com/CheapSportsCar1/status/1749934892207722696
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:18:47.000Z," Mini HOF Stack Sale! (Post 4)

1997 Best (1st major release MiLB card)

$3 each — 12 available",0,0,0,45,https://twitter.com/CheapSportsCar1/status/1749934733159493843
Big Dave (32-3),@gococks69,2024-01-23T23:18:09.000Z,Parked and walking in now. I had a p out my car in sport mode,1,0,2,45,https://twitter.com/gococks69/status/1749934573058723941
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:17:59.000Z," Mini HOF Stack Sale! (Post 3)

$3 each",0,0,0,49,https://twitter.com/CheapSportsCar1/status/1749934533623841263
M vs M,@feifenrir,2024-01-23T23:17:29.000Z,The urge for a two door sports car....is strong ,0,0,0,8,https://twitter.com/feifenrir/status/1749934408067326245
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:17:24.000Z," Mini HOF Stack Sale! (Post 2)

$2 each",0,0,0,63,https://twitter.com/CheapSportsCar1/status/1749934386391519587
Joel's Sports Cards,@CheapSportsCar1,2024-01-23T23:16:45.000Z," Mini HOF Stack Sale! (Post 1)

$2 each",0,0,1,78,https://twitter.com/CheapSportsCar1/status/1749934224432623904
lammijohn,@lammijohn700,2024-01-23T23:12:47.000Z,"Only the sanctimonious ones. When I was a kid playing tennis in PalmBeach , there was an Episcopal priest who played, off court wore seersucker , drove a Triumph sports car, drank , had Fun. I’m sure he was a confident Christian, as was I",0,0,0,17,https://twitter.com/lammijohn700/status/1749933223243571610
JC,@JayKIZER2,2024-01-23T23:08:26.000Z,LoL you're a   touch some grass Mr sports community  lol jerkoff  & No Bills Mafia>,0,0,0,4,https://twitter.com/JayKIZER2/status/1749932129037717917
𝓔𝔃𝓸 𝓕𝓾𝔃𝔃,@EzoFuzz,2024-01-23T23:08:18.000Z,What if we kissed in the woodgrain sports car? ,1,0,4,48,https://twitter.com/EzoFuzz/status/1749932096527962369
SportsKid,@SportsKidBS_,2024-01-23T23:00:10.000Z,call center employee buying car and house ? fake af,0,0,0,4,https://twitter.com/SportsKidBS_/status/1749930048759468384
What Car?,@whatcar,2024-01-23T23:00:00.000Z,"While estates lack the fashionable status of SUVs, they’re more practical. But they also needs to be a pleasure to spend time in, and easy to live with beyond the simple virtue of space

In short, the  Corolla Touring Sports! https://buff.ly/493MKBh#WhatCarAwards",0,0,1,417,https://twitter.com/whatcar/status/1749930007323922685
Torgore ANE,@TorgoreS,2024-01-23T22:58:18.000Z,"You’d think a new bright red sports car would draw attention, but apparently someone wasn’t paying enough attention to it",0,0,0,25,https://twitter.com/TorgoreS/status/1749929578670264825
10gu,@10gu10gu10gu,2024-01-23T22:57:41.000Z,nah its not reaaally a sports car? but ive just always wanted a bwm m-series. i learned stick when i was valet-ing but never made it into muscle memory.,1,0,0,7,https://twitter.com/10gu10gu10gu/status/1749929422340145450
