Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
Elon Musk (kidding),@notelonmuskkkk,2024-01-23T01:40:31.000Z,Should I buy her dinner?,350,90,731,15K,https://twitter.com/notelonmuskkkk/status/1749608012862443710
PTI,@PTIofficial,2024-01-23T18:00:33.000Z,"https://thenation.com/article/archive/imran-khan-artificial-intelligence/…“What we wanted to give the audience was the feeling that Imran Khan was there, but with the disclaimer that this was the AI voice of Imran Khan based on his notes from jail,” says Khan loyalist, Jibran Ilyas  , who masterminded the…",30,414,1K,32K,https://twitter.com/PTIofficial/status/1749854648784097421
Musa Virk,@MusaNV18,2024-01-23T20:18:01.000Z,DM your constituency's number to  Official Facebook Page and get your PTI Candidate's Name & Symbol.,40,346,634,40K,https://twitter.com/MusaNV18/status/1749889242581610891
World of Engineering,@engineers_feed,2024-01-23T05:00:00.000Z,"Elon Musk's 6 rules for insane productivity:

1) Avoid large meetings
2) Leave a meeting if you’re not contributing
3) Forget the chain of command
4) Be clear, not clever
5) Ditch frequent meetings
6) Use common sense",267,1.5K,10K,2M,https://twitter.com/engineers_feed/status/1749658217926271294
Barrister Salman Safdar,@BrSalmanSafdar,2024-01-23T10:22:49.000Z,Lahore High Court has Restored  Pre Arrest Bails of Imran Khan in Seven (7) Cases of Lahore.  Zillay Shah Murder & 9th / 10 May 23 (FIR No 96/ 23). These Bails were dismissed in August after Toshakhanna Arrest.  Great relief for IK as Arrest Stopped and Bails Restored.  Result,182,1.5K,6.1K,187K,https://twitter.com/BrSalmanSafdar/status/1749739456980992233
Zain Hussain Qureshi,@ZainHQ,2024-01-23T19:42:18.000Z,"ہم خان کے ساتھ کھڑے تھے، کھڑے ہیں اور کھڑے رہیں گے.

کیوں کہ اب 8 فروری کو عوام لے گی ظلم کا بدلہ، ووٹ سے!
'جُوتے' پر مہر لگا کر بدلیں گے اس نظام کو، بدلیں گے پاکستان کو۔#ZulmKaBadlaVoteSe #NA150 #Shoes #ملتان_کپتان_کا  
 #عمران_کا_پلڑا_بھاری_ہے",23,272,1K,15K,https://twitter.com/ZainHQ/status/1749880256067141724
PTI,@PTIofficial,2024-01-23T18:00:33.000Z,"https://thenation.com/article/archive/imran-khan-artificial-intelligence/…“What we wanted to give the audience was the feeling that Imran Khan was there, but with the disclaimer that this was the AI voice of Imran Khan based on his notes from jail,” says Khan loyalist, Jibran Ilyas  , who masterminded the…",30,414,1K,32K,https://twitter.com/PTIofficial/status/1749854648784097421
Jenni,@hashjenni,2024-01-23T11:32:36.000Z,"Having your childhood documented. Pics, videos, letters, crappy childhood art all of it.",233,25K,149K,8.5M,https://twitter.com/hashjenni/status/1749757016451797482
Tesla Synopsis,@TeslaSynopsis,2024-01-23T17:20:49.000Z,"Model X *refresh*, do you like it?",82,62,353,6.3K,https://twitter.com/TeslaSynopsis/status/1749844648338784751
PTI,@PTIofficial,2024-01-23T18:15:30.000Z,چئیرمین  عمران خان کا انتخابی مہم کےحوالے سے امیدواران کے لیے اہم پیغام:,68,528,1.5K,26K,https://twitter.com/PTIofficial/status/1749858409334149364
