Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
PTI,@PTIofficial,2024-01-22T19:58:45.000Z,"تحریک انصاف کے ٹکٹ ہولڈرز کا ویب پورٹل دوبارہ لانچ کر دیا گیا ہے
لنک:http://pticandidates.comیاhttp://insaf.pk/election2024اب اپنا قومی یا صوبائی اسمبلی کا حلقہ لکھیں تو:
امیدوار کا نام، اس کا انتخابی نشان، اور اس کا whatsapp channel آپ کے سامنے آ جائے گا،

یہ تفصیلات اپنے گرد و…",132,617,1.1K,81K,https://twitter.com/PTIofficial/status/1749522008231092469
Nate Esparza,@Nate_Esparza,2024-01-23T17:45:55.000Z,"Don’t forget to Celebrate the Wins!

Both your own and each other’s",24,22,318,22K,https://twitter.com/Nate_Esparza/status/1749850967498162528
no context memes,@weirddalle,2024-01-23T16:37:20.000Z,buddy just forgot there’s no water,239,2K,38K,5.9M,https://twitter.com/weirddalle/status/1749833704766160930
PTI,@PTIofficial,2024-01-22T19:47:50.000Z," Great News: PTI Candidates & Symbols portal is now updated. NA, PP, PK are complete, while only symbols left are for PS & PB. 

Link 1: http://pticandidates.comLink 2: http://insaf.pk/election2024Type in your Constituency Number to find:
- our candidate’s Electoral symbol name &…",80,593,1K,69K,https://twitter.com/PTIofficial/status/1749519257199665333
PTI,@PTIofficial,2024-01-23T18:15:30.000Z,چئیرمین  عمران خان کا انتخابی مہم کےحوالے سے امیدواران کے لیے اہم پیغام:,67,526,1.5K,26K,https://twitter.com/PTIofficial/status/1749858409334149364
Musa Virk,@MusaNV18,2024-01-23T20:18:01.000Z,DM your constituency's number to  Official Facebook Page and get your PTI Candidate's Name & Symbol.,39,343,631,39K,https://twitter.com/MusaNV18/status/1749889242581610891
Barrister Salman Safdar,@BrSalmanSafdar,2024-01-23T10:22:49.000Z,Lahore High Court has Restored  Pre Arrest Bails of Imran Khan in Seven (7) Cases of Lahore.  Zillay Shah Murder & 9th / 10 May 23 (FIR No 96/ 23). These Bails were dismissed in August after Toshakhanna Arrest.  Great relief for IK as Arrest Stopped and Bails Restored.  Result,182,1.5K,6.1K,186K,https://twitter.com/BrSalmanSafdar/status/1749739456980992233
PTI,@PTIofficial,2024-01-23T18:00:33.000Z,"https://thenation.com/article/archive/imran-khan-artificial-intelligence/…“What we wanted to give the audience was the feeling that Imran Khan was there, but with the disclaimer that this was the AI voice of Imran Khan based on his notes from jail,” says Khan loyalist, Jibran Ilyas  , who masterminded the…",30,413,1K,32K,https://twitter.com/PTIofficial/status/1749854648784097421
PTI Okara,@PTIOkaara,2024-01-23T16:47:19.000Z,"صدر اوكاڑہ پاکستان تحریک انصاف بلال عمر بودلہ نے آج باقاعدہ طارق ارشاد امیدوار برائے صوبائی اسمبلی پی پی 189 نے حمایت کا اعلان کیا ایک ساتھ چلنے کا عزم۔
انتخابی نشان 'ٹرانسفارمر' #اب_غلامی_نامنظور",14,205,612,12K,https://twitter.com/PTIOkaara/status/1749836217238343687
PTI,@PTIofficial,2024-01-22T20:29:34.000Z,بند کمروں میں عمران خان پر ریڈ لائن لگانے والے لوگوں کے دل سے عمران خان کو کیسے نکالیں گے ؟ شادی کی تقریب میں بھی عمران خان زندہ باد کے نعرے,84,1.7K,6.8K,78K,https://twitter.com/PTIofficial/status/1749529762987446566
PTI,@PTIofficial,2024-01-22T17:13:39.000Z,"Dawn's survey paints a stark picture of readers’ confidence in the PML-N-led Pakistan Democratic Movement (PDM) government, which was in power until August last year. A significant 76.34pc of those surveyed have labelled the PDM’s performance as ‘very poor’. 
Meanwhile PTI, led…",73,873,1.7K,73K,https://twitter.com/PTIofficial/status/1749480458763514272
Qasim Khan Suri,@QasimKhanSuri,2024-01-23T11:47:44.000Z,#اب_غلامی_نامنظور,343,4.8K,19K,202K,https://twitter.com/QasimKhanSuri/status/1749760826754343285
Sher Afzal Khan Marwat,@sherafzalmarwat,2024-01-23T05:59:38.000Z,میں اپنے تینوں ایم پی ایز امیدوران کے ہمراہ اس ویڈیو میسج کے ذریعے اپنے حلقے کی عوام تک اپنا پیغام پھیلانا چاہتا ہوں.,102,2.7K,10K,85K,https://twitter.com/sherafzalmarwat/status/1749673223397290108
PTI,@PTIofficial,2024-01-23T17:20:39.000Z,"Part 1/n

ناحق قید قوم کے لیڈر عمران خان کا جیل سے اپنی قوم کے لئے خصوصی پیغام:

پوری قوم الیکشن کی تیاری کرے کیونکہ #اب_غلامی_نامنظور !!!",63,264,753,25K,https://twitter.com/PTIofficial/status/1749844607888683471
Zain Hussain Qureshi,@ZainHQ,2024-01-23T19:42:18.000Z,"ہم خان کے ساتھ کھڑے تھے، کھڑے ہیں اور کھڑے رہیں گے.

کیوں کہ اب 8 فروری کو عوام لے گی ظلم کا بدلہ، ووٹ سے!
'جُوتے' پر مہر لگا کر بدلیں گے اس نظام کو، بدلیں گے پاکستان کو۔#ZulmKaBadlaVoteSe #NA150 #Shoes #ملتان_کپتان_کا  
 #عمران_کا_پلڑا_بھاری_ہے",23,270,994,15K,https://twitter.com/ZainHQ/status/1749880256067141724
Syeda Arooba komal,@SyedaAroobaKoml,2024-01-23T20:26:33.000Z,"بانی چیئرمین عمران خان کے فیس بک اکاؤنٹ پر اپنا حلقہ نمبر میسج کریں اور اپنے حلقہ کے نامزد امیدوار اور اس کا انتخابی نشان جانئیے
ناصرف یہ بلکہ اپنے متعلقہ حلقے کے وٹس ایپ چینل کالنک بھی نیچے موجود ہوگا جسے فالو کرنے سےآپ لمحہ با لمحہ اپنے حلقےکی معلومات سےاگاہ رہیں گے#IKisComing",4,23,60,1.4K,https://twitter.com/SyedaAroobaKoml/status/1749891388542427346
PTI,@PTIofficial,2024-01-23T14:12:39.000Z,"این اے 175 سے پی ٹی آئی کے امیدوار جمشید دستی کا کارنر میٹنگ کے دوران پرجوش خطاب

اپنا انتخابی حلقہ معلوم کرنے کے لیے اپنا شناختی کارڈ 8300 پر بھیجیں، پھر اس لنک پر جائیں: http://insaf.pk/election2024اب اپنا قومی یا صوبائی اسمبلی کا حلقہ لکھیں:آپ کو امیدوار کا نام اور اس کا نشان مل…",59,930,2.3K,48K,https://twitter.com/PTIofficial/status/1749797295611384282
Moeed Pirzada,@MoeedNj,2024-01-23T03:49:29.000Z,Dawn’s survey was professional and comprehensive but Editors were timid in not telling upfront that more than 67% of Dawn readers support Imran Khan & only 1.2% approved of the PDM parties performance! Please save this News story before it Disappears! ,86,1.7K,3.8K,124K,https://twitter.com/MoeedNj/status/1749640469376651637
PTI,@PTIofficial,2024-01-23T08:11:53.000Z,فیصل آباد: کموکا برادری نے تحریک انصاف کے امیدواران برائے NA-101 رانا عاطف (انتخابی نشان: بوتل) اور PP-114 لطیف نذر گجر (انتخابی نشان: ریڈیو) کی  حمایت کا اعلان کر دیا,96,3K,9.9K,138K,https://twitter.com/PTIofficial/status/1749706504490394004
PTI,@PTIofficial,2024-01-23T13:11:24.000Z,"این اے 150 ملتان سے پی ٹی آئی کے امیدوار زین حسین قریشی (انتخابی نشان: جوتا) ہیں، پی پی 217 سے امیدوار ندیم قریشی (انتخابی نشان: گھڑیال) اور پی پی 218 سے ظہور احمد بھٹہ (انتخابی نشان: ٹوتھ برش) ہیں۔

اپنا انتخابی حلقہ معلوم کرنے کے لیے اپنا شناختی کارڈ 8300 پر بھیجیں، پھر اس لنک…",66,504,1.4K,30K,https://twitter.com/PTIofficial/status/1749781882785718413
Awab Alvi,@DrAwab,2024-01-23T14:46:20.000Z,"— کراچی کے تمام ووٹرز —

پہلاے : اپنا شناختی کارڈ نمبر 8300 پر بھیج کر اپنا حلقہ تلاش کریں۔ 

پھر اپنے حلقے کے امیدوار کی سرگرمیوں کے بارے میں اپ ڈیٹ رہنےکے لئے درج واتس ایپ چینل کو فولو کریں 

اپڈیٹس زیادہ سے زیادہ شیر کریں یہ بات یاد رہے کہ اس مافیا کو شکست دینے کے لیے عمران…",10,119,287,24K,https://twitter.com/DrAwab/status/1749805770089402825
PTI,@PTIofficial,2024-01-23T18:40:11.000Z,Special message of  President PTI KP regarding upcoming elections. #اب_غلامی_نامنظور,46,750,1.7K,29K,https://twitter.com/PTIofficial/status/1749864623988232379
PTI,@PTIofficial,2024-01-23T15:12:42.000Z,عمران خان کا دیا ہوا شعور اپنی پوری آب و تاب کے ساتھ چمک رہا ہے اور یہی شعور ہماری نسلوں کو سنوارے گا انشاءاللّہ!#اب_غلامی_نامنظور,59,342,1.3K,22K,https://twitter.com/PTIofficial/status/1749812408137506868
PTI,@PTIofficial,2024-01-23T14:54:35.000Z,"23 January 2024: 77th Day Without a Legal, Legitimate, Constitutional Government in Pakistan.

Law - Violated
Constitution - Suspended 
Democracy - Derailed
Human Rights - Abolished 
Freedom of Speech - Eradicated
Morality - Desecrated 
Economy - Crippled
Fascism - Unbridled…",29,166,435,25K,https://twitter.com/PTIofficial/status/1749807847779807322
Azhar Mashwani,@MashwaniAzhar,2024-01-22T19:49:30.000Z," تحریک انصاف کے ٹکٹ ہولڈرز کا ویب پورٹل دوبارہ لانچ کر دیا گیا ہے
لنک:http://insaf.pk/election2024یاhttp://pticandidates.comاب اپنا قومی یا صوبائی اسمبلی کا حلقہ لکھیں تو:
امیدوار کا نام، اس کا انتخابی نشان، اور اس کا whatsapp channel آپ کے سامنے آ جائے گا،

یہ تفصیلات اپنے گرد…",635,6.4K,13K,351K,https://twitter.com/MashwaniAzhar/status/1749519679431827711
Jibran Ilyas,@agentjay2009,2024-01-22T21:30:06.000Z,"پروپیگنڈا الرٹ:

یہ کوشش کی جا رہی ہے کہ لوگ ۸ فروری کو ووٹ دینے نہیں جائیں، اس کے لیے دو باتیں کی جا رہی ہیں: 

۱) یہ مشہور کیا جا رہا ہے کہ پی ٹی آئی کے امیدوار دوسری پارٹی کے ساتھ رابطے میں ہیں- جب اتنی تکلیفوں اور مار کھانے کے بعد نہیں چھوڑی تو اب کیوں چوڑھیں گے؟ 

۲) فروری ۸…",214,5.1K,9.1K,196K,https://twitter.com/agentjay2009/status/1749544994388529250
PTI,@PTIofficial,2024-01-23T17:50:17.000Z,آرٹیکل 6 کا نفاذ اگر کسی پر بنتا ہے تو وہ ان غیر آئینی نگران حکومتوں پر بنتا ہے جو بغیر کسی عوامی  مینڈیٹ کے ایک سال سے حکومت میں بیٹھی ہیں ۔ پنجاب میں حالات یہ ہیں کہ کوئی سیاسی سرگرمی یا کارنر میٹنگ تحریک انصاف سے متعلق ہوتی ہے تو پولیس وہاں چھاپہ مار دیتی ہے ان حالات میں شفاف…,43,1.4K,2.9K,46K,https://twitter.com/PTIofficial/status/1749852064736334333
PTI,@PTIofficial,2024-01-23T11:47:28.000Z,"افواہ سازی کی شرمناک سرکاری مہم کی آڑ میں انتخابات پر ڈاکہ ڈالنے کی قابلِ مذمت ریاستی کوششوں کا معاملہ :

 عمران خان کی عوام میں تاریخی مقبولیت اور پاکستان تحریک انصاف کو میسّر غیرمعمولی تائید کے باعث 8 فروری کے انتخابات کے نتائج بالکل واضح اور غیرمبہم ہیں،

ستر سے اسّی فیصد…",56,987,2.5K,107K,https://twitter.com/PTIofficial/status/1749760759817547798
PTI UK,@UKPTIOfficial,2024-01-23T13:00:51.000Z,"PTI leader and Advisor to Imran Khan on International Media, Mr. Zulfi Bukhari will be speaking at the Oriel College, Oxford University at an event hosted by the Oxford Majlis. 

Mr. Bukhari will be talking about the challenging situation Pakistan faces today as well as the…",5,104,250,12K,https://twitter.com/UKPTIOfficial/status/1749779224590799049
PTI,@PTIofficial,2024-01-23T15:19:21.000Z,"PTI Social Media Team will host the first ever live Jalsa on TikTok!

Join us to make history!Jan 24th 9 PM PKT
 @PTITikTokLive",52,264,690,17K,https://twitter.com/PTIofficial/status/1749814079383065033
salman akram raja,@salmanAraja,2024-01-22T21:59:29.000Z,"Chaudhry Waheed Akhtar & son who hosted an election walk through Canal Bank Bazar & Main Market, Lahore for PTI candidates for NA 128 & PP 170 in which I participated has just been picked up from his home by the police. His front door was smashed open in the middle of the night.",98,1.6K,2.9K,213K,https://twitter.com/salmanAraja/status/1749552389223313421
PTI,@PTIofficial,2024-01-23T14:15:17.000Z,Scan the QR code in order to see and follow  tiktok account!,21,245,629,20K,https://twitter.com/PTIofficial/status/1749797959213142297
